Zip,total,none,perc_none,n_4,perc_n_4,n_4_orless,perc_n_4_orless,5_6,perc_5_6,5_6_orless,perc_5_6_orless,7_8,perc_7_8,7_8_orless,perc_7_8_orless,9,perc_9,9_orless,perc_9_orless,10,perc_10,10_orless,perc_10_orless,11,perc_11,11_orless,perc_11_orless,12,perc_12,12_orless,perc_12_orless,perc_hs_grad_ormore,hs_grad,perc_hs_grad,hs_grad_orless,perc_hs_grad_orless,col_<1,perc_col_<1,col_<1_orless,perc_col_<1_orless,col_>1,perc_col_>1,col_>1_orless,perc_col_>1_orless,perc_associate_ormore,associate,perc_associate,associate_orless,perc_associate_orless,bachelor,perc_bachelor,bachelor_orless,perc_bachelor_orless,master,perc_master,master_orless,perc_master_orless,professional,perc_professional,professional_orless,perc_professional_orless,doctorate,perc_doctorate,doctorate_orless,perc_doctorate_orless
37211,52117,1528,2.93,738,1.42,2266,4.35,1273,2.44,3539,6.79,1504,2.89,5043,9.68,1334,2.56,6377,12.24,1015,1.95,7392,14.18,775,1.49,8167,15.67,1122,2.15,9289,17.82,82.18,11897,22.83,21186,40.65,2007,3.85,23193,44.5,6621,12.7,29814,57.21,42.79,2937,5.64,32751,62.84,12916,24.78,45667,87.62,4999,9.59,50666,97.22,811,1.56,51477,98.77,640,1.23,52117,100
37212,10553,50,0.47,7,0.07,57,0.54,0,0,57,0.54,53,0.5,110,1.04,57,0.54,167,1.58,59,0.56,226,2.14,84,0.8,310,2.94,120,1.14,430,4.07,95.93,934,8.85,1364,12.93,405,3.84,1769,16.76,962,9.12,2731,25.88,74.12,396,3.75,3127,29.63,3604,34.15,6731,63.78,2045,19.38,8776,83.16,825,7.82,9601,90.98,952,9.02,10553,100
37213,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,54,71.05,54,71.05,0,0,54,71.05,0,0,54,71.05,28.95,0,0,54,71.05,22,28.95,76,100,0,0,76,100,0,0,76,100,0,0,76,100
37214,23046,170,0.74,27,0.12,197,0.85,57,0.25,254,1.1,117,0.51,371,1.61,123,0.53,494,2.14,351,1.52,845,3.67,229,0.99,1074,4.66,316,1.37,1390,6.03,93.97,5609,24.34,6999,30.37,1535,6.66,8534,37.03,3461,15.02,11995,52.05,47.95,2014,8.74,14009,60.79,6579,28.55,20588,89.33,1960,8.5,22548,97.84,277,1.2,22825,99.04,221,0.96,23046,100
37215,16500,7,0.04,6,0.04,13,0.08,6,0.04,19,0.12,44,0.27,63,0.38,22,0.13,85,0.52,45,0.27,130,0.79,35,0.21,165,1,103,0.62,268,1.62,98.38,763,4.62,1031,6.25,427,2.59,1458,8.84,1552,9.41,3010,18.24,81.76,317,1.92,3327,20.16,6315,38.27,9642,58.44,3336,20.22,12978,78.65,2472,14.98,15450,93.64,1050,6.36,16500,100
37216,13961,33,0.24,72,0.52,105,0.75,32,0.23,137,0.98,66,0.47,203,1.45,192,1.38,395,2.83,308,2.21,703,5.04,315,2.26,1018,7.29,169,1.21,1187,8.5,91.50,3022,21.65,4209,30.15,748,5.36,4957,35.51,2183,15.64,7140,51.14,48.86,974,6.98,8114,58.12,4095,29.33,12209,87.45,1404,10.06,13613,97.51,176,1.26,13789,98.77,172,1.23,13961,100
37217,20580,560,2.72,185,0.9,745,3.62,306,1.49,1051,5.11,572,2.78,1623,7.89,240,1.17,1863,9.05,376,1.83,2239,10.88,334,1.62,2573,12.5,372,1.81,2945,14.31,85.69,5860,28.47,8805,42.78,1285,6.24,10090,49.03,2975,14.46,13065,63.48,36.52,1414,6.87,14479,70.35,4572,22.22,19051,92.57,1284,6.24,20335,98.81,142,0.69,20477,99.5,103,0.5,20580,100
37218,11538,116,1.01,0,0,116,1.01,91,0.79,207,1.79,279,2.42,486,4.21,151,1.31,637,5.52,363,3.15,1000,8.67,430,3.73,1430,12.39,356,3.09,1786,15.48,84.52,3325,28.82,5111,44.3,836,7.25,5947,51.54,2130,18.46,8077,70,30.00,629,5.45,8706,75.46,1692,14.66,10398,90.12,906,7.85,11304,97.97,138,1.2,11442,99.17,96,0.83,11538,100
37219,953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,52,5.46,52,5.46,0,0,52,5.46,145,15.22,197,20.67,79.33,39,4.09,236,24.76,434,45.54,670,70.3,110,11.54,780,81.85,138,14.48,918,96.33,35,3.67,953,100
37220,4278,0,0,11,0.26,11,0.26,0,0,11,0.26,0,0,11,0.26,0,0,11,0.26,7,0.16,18,0.42,0,0,18,0.42,0,0,18,0.42,99.58,479,11.2,497,11.62,158,3.69,655,15.31,453,10.59,1108,25.9,74.10,194,4.53,1302,30.43,1839,42.99,3141,73.42,664,15.52,3805,88.94,352,8.23,4157,97.17,121,2.83,4278,100
